event_name,outcome,severity,invader_tl,recon_loss,damage_mode,lv_severity,invader_r,body_mass_ratio,extinct_frac,lambda_max
Burmese Python — Florida Everglades,collapse,0.95,0.8,1.012013,1.0,0.067728,0.08,0.807692,0.11225,-0.0
Brown Tree Snake — Guam,collapse,0.98,0.7,1.33164,1.0,0.124604,0.2,0.6,0.026418,-0.001014
Nile Perch — Lake Victoria,collapse,0.92,0.775,0.953822,1.0,0.109631,0.18,0.753846,0.040414,0.0
Smallpox — Native American Ecosystems,collapse,0.88,0.375,0.733084,0.8,0.147849,0.8,0.0,0.054884,-5.2e-05
Cane Toad — Australia,disrupted,0.7,0.525,23.121902,1.0,0.14736,0.32,0.546154,0.219702,0.0
Lionfish — Caribbean Reef,disrupted,0.65,0.65,0.748588,1.0,0.147634,0.22,0.553846,0.064891,-0.001848
Zebra Mussel — Great Lakes,disrupted,0.6,0.275,0.739726,0.5,0.14746,0.44,0.415385,0.130617,0.0
Rabbit — Australia,disrupted,0.55,0.25,0.724265,0.3,0.14764,0.64,0.507692,0.135394,0.0
Asian Carp — Mississippi River,disrupted,0.62,0.375,0.722978,0.5,0.147444,0.36,0.653846,0.107178,0.0
Parthenium Weed — India/Australia,disrupted,0.5,0.0,0.723419,0.8,0.147632,0.52,0.392308,0.135424,-0.0
Emerald Ash Borer — North America,disrupted,0.68,0.25,0.722629,0.3,0.147955,0.4,0.307692,0.006661,-0.024115
European Honeybee — North America,stable,0.1,0.25,1.056023,0.3,0.148635,0.3,0.269231,0.0,-0.290408
Ring-necked Pheasant — North America,stable,0.12,0.375,0.713759,0.3,0.13224,0.16,0.538462,0.0491,0.0
Common Carp — Australia (managed),stable,0.18,0.45,0.644714,0.5,0.148441,0.24,0.630769,0.0,-0.14213
Fallow Deer — Australia,stable,0.15,0.25,1.730662,0.3,0.072955,0.1,0.692308,0.085392,-0.0
Canada Goose — UK,stable,0.2,0.3,1.13449,0.3,0.104002,0.14,0.653846,0.051685,0.0
Stoat — New Zealand Forest,collapse,0.85,0.7,1.174302,1.0,0.137297,0.26,0.523077,6.1e-05,-0.043743
Chytrid Fungus — Global Amphibians,collapse,0.9,0.25,1.385719,0.8,0.148458,0.7,0.153846,0.075508,-0.0
Water Hyacinth — African Lakes,disrupted,0.58,0.0,0.739894,0.8,0.14736,0.6,0.5,0.196324,-0.0
Red Fox — Australia,disrupted,0.72,0.625,1.043181,1.0,0.127821,0.2,0.630769,0.0,-0.280403
Mallard Duck — New Zealand,stable,0.22,0.325,1.37375,0.3,0.125076,0.18,0.6,0.046763,0.0
